# IMG_3053 | Page 2 of 3 | Date 5/26 | Location <blank> | Team Jon + Fabrizio - The Dynamic Duos | Note taker Jon | Weather <blank>,,,,,,,,,,,,,,,,
TreeID,species,H1,H2,H3,Phenology,Moisture,D30,D80,D160,flux30Start,flux80Start,flux160Start,ppm30,ppm80,ppm160,Note
SE59,Macucú,40,80,160,90% old,21;14;13,14,14,13,19:16,19:21,19:25,85,30,2.3,5/22/26 Jon + Reginei; 273
NW16,Sucuba,40,80,160,,,20,20,19,14:05,14:14,14:26,,,,Special 2026_03
NW33a,Tamanqueira,40,80,,,,12,12,,15:05,15:09,,,,,Special 2026_03
NW6A,Lourinho,,,,,,,,,,,,,,,no data (blank)
NW6B,Biorana,,,,,,,,,,,,,,,no data (blank)
NW9,Uxirana de uxinho,40,80,120,,,14,13,13,13:44,13:52,13:56,,,,
NW22,Urucurana,40,80,160,,,,,,14:35,14:39,14:43,,,,Foia @ 160
NW23,Mata Mata folha miuda,,,,,,,,,,,,,,,no data (blank)
NW26,Macucú,50,,,,,20,,,14:56,,,,,,Decayed; hollow no flux — seal?
NW39,Seringal,40,80,160,,,17,16.5,16,15:16,15:24,15:29,,,,
NW46a,Mata Mata folha miuda,40,80,160,60% old?,,26,26,25,15:42,15:52,16:00,,,,"isotopes @ 40 + 80, t=5min"
